a, b, c, d, e
63951, 187, 451, 1, 36050
63952, 224, 452, 2, 36049
63953, 261, 453, 3, 36048
63954, 298, 454, 4, 36047
63955, 335, 455, 5, 36046
63956, 372, 456, 6, 36045
63957, 409, 457, 7, 36044
63958, 446, 458, 8, 36043
63959, 483, 459, 9, 36042
63960, 520, 460, 0, 36041
63961, 557, 461, 1, 36040
63962, 594, 462, 2, 36039
63963, 631, 463, 3, 36038
63964, 668, 464, 4, 36037
63965, 705, 465, 5, 36036
63966, 742, 466, 6, 36035
63967, 779, 467, 7, 36034
63968, 816, 468, 8, 36033
63969, 853, 469, 9, 36032
63970, 890, 470, 0, 36031
63971, 927, 471, 1, 36030
63972, 964, 472, 2, 36029
63973, 1, 473, 3, 36028
63974, 38, 474, 4, 36027
63975, 75, 475, 5, 36026
63976, 112, 476, 6, 36025
63977, 149, 477, 7, 36024
63978, 186, 478, 8, 36023
63979, 223, 479, 9, 36022
63980, 260, 480, 0, 36021
63981, 297, 481, 1, 36020
63982, 334, 482, 2, 36019
63983, 371, 483, 3, 36018
63984, 408, 484, 4, 36017
63985, 445, 485, 5, 36016
63986, 482, 486, 6, 36015
63987, 519, 487, 7, 36014
63988, 556, 488, 8, 36013
63989, 593, 489, 9, 36012
63990, 630, 490, 0, 36011
63991, 667, 491, 1, 36010
63992, 704, 492, 2, 36009
63993, 741, 493, 3, 36008
63994, 778, 494, 4, 36007
63995, 815, 495, 5, 36006
63996, 852, 496, 6, 36005
63997, 889, 497, 7, 36004
63998, 926, 498, 8, 36003
63999, 963, 499, 9, 36002
64000, 0, 0, 0, 36001
64001, 37, 1, 1, 36000
64002, 74, 2, 2, 35999
64003, 111, 3, 3, 35998
64004, 148, 4, 4, 35997
64005, 185, 5, 5, 35996
64006, 222, 6, 6, 35995
64007, 259, 7, 7, 35994
64008, 296, 8, 8, 35993
64009, 333, 9, 9, 35992
64010, 370, 10, 0, 35991
64011, 407, 11, 1, 35990
64012, 444, 12, 2, 35989
64013, 481, 13, 3, 35988
64014, 518, 14, 4, 35987
64015, 555, 15, 5, 35986
64016, 592, 16, 6, 35985
64017, 629, 17, 7, 35984
64018, 666, 18, 8, 35983
64019, 703, 19, 9, 35982
64020, 740, 20, 0, 35981
64021, 777, 21, 1, 35980
64022, 814, 22, 2, 35979
64023, 851, 23, 3, 35978
64024, 888, 24, 4, 35977
64025, 925, 25, 5, 35976
64026, 962, 26, 6, 35975
64027, 999, 27, 7, 35974
64028, 36, 28, 8, 35973
64029, 73, 29, 9, 35972
64030, 110, 30, 0, 35971
64031, 147, 31, 1, 35970
64032, 184, 32, 2, 35969
64033, 221, 33, 3, 35968
64034, 258, 34, 4, 35967
64035, 295, 35, 5, 35966
64036, 332, 36, 6, 35965
64037, 369, 37, 7, 35964
64038, 406, 38, 8, 35963
64039, 443, 39, 9, 35962
64040, 480, 40, 0, 35961
64041, 517, 41, 1, 35960
64042, 554, 42, 2, 35959
64043, 591, 43, 3, 35958
64044, 628, 44, 4, 35957
64045, 665, 45, 5, 35956
64046, 702, 46, 6, 35955
64047, 739, 47, 7, 35954
64048, 776, 48, 8, 35953
64049, 813, 49, 9, 35952
64050, 850, 50, 0, 35951
64051, 887, 51, 1, 35950
64052, 924, 52, 2, 35949
64053, 961, 53, 3, 35948
64054, 998, 54, 4, 35947
64055, 35, 55, 5, 35946
64056, 72, 56, 6, 35945
64057, 109, 57, 7, 35944
64058, 146, 58, 8, 35943
64059, 183, 59, 9, 35942
64060, 220, 60, 0, 35941
64061, 257, 61, 1, 35940
64062, 294, 62, 2, 35939
64063, 331, 63, 3, 35938
64064, 368, 64, 4, 35937
64065, 405, 65, 5, 35936
64066, 442, 66, 6, 35935
64067, 479, 67, 7, 35934
64068, 516, 68, 8, 35933
64069, 553, 69, 9, 35932
64070, 590, 70, 0, 35931
64071, 627, 71, 1, 35930
64072, 664, 72, 2, 35929
64073, 701, 73, 3, 35928
64074, 738, 74, 4, 35927
64075, 775, 75, 5, 35926
64076, 812, 76, 6, 35925
64077, 849, 77, 7, 35924
64078, 886, 78, 8, 35923
64079, 923, 79, 9, 35922
64080, 960, 80, 0, 35921
64081, 997, 81, 1, 35920
64082, 34, 82, 2, 35919
64083, 71, 83, 3, 35918
64084, 108, 84, 4, 35917
64085, 145, 85, 5, 35916
64086, 182, 86, 6, 35915
64087, 219, 87, 7, 35914
64088, 256, 88, 8, 35913
64089, 293, 89, 9, 35912
64090, 330, 90, 0, 35911
64091, 367, 91, 1, 35910
64092, 404, 92, 2, 35909
64093, 441, 93, 3, 35908
64094, 478, 94, 4, 35907
64095, 515, 95, 5, 35906
64096, 552, 96, 6, 35905
64097, 589, 97, 7, 35904
64098, 626, 98, 8, 35903
64099, 663, 99, 9, 35902
64100, 700, 100, 0, 35901
64101, 737, 101, 1, 35900
64102, 774, 102, 2, 35899
64103, 811, 103, 3, 35898
64104, 848, 104, 4, 35897
64105, 885, 105, 5, 35896
64106, 922, 106, 6, 35895
64107, 959, 107, 7, 35894
64108, 996, 108, 8, 35893
64109, 33, 109, 9, 35892
64110, 70, 110, 0, 35891
64111, 107, 111, 1, 35890
64112, 144, 112, 2, 35889
64113, 181, 113, 3, 35888
64114, 218, 114, 4, 35887
64115, 255, 115, 5, 35886
64116, 292, 116, 6, 35885
64117, 329, 117, 7, 35884
64118, 366, 118, 8, 35883
64119, 403, 119, 9, 35882
64120, 440, 120, 0, 35881
64121, 477, 121, 1, 35880
64122, 514, 122, 2, 35879
64123, 551, 123, 3, 35878
64124, 588, 124, 4, 35877
64125, 625, 125, 5, 35876
64126, 662, 126, 6, 35875
64127, 699, 127, 7, 35874
64128, 736, 128, 8, 35873
64129, 773, 129, 9, 35872
64130, 810, 130, 0, 35871
64131, 847, 131, 1, 35870
64132, 884, 132, 2, 35869
64133, 921, 133, 3, 35868
64134, 958, 134, 4, 35867
64135, 995, 135, 5, 35866
64136, 32, 136, 6, 35865
64137, 69, 137, 7, 35864
64138, 106, 138, 8, 35863
64139, 143, 139, 9, 35862
64140, 180, 140, 0, 35861
64141, 217, 141, 1, 35860
64142, 254, 142, 2, 35859
64143, 291, 143, 3, 35858
64144, 328, 144, 4, 35857
64145, 365, 145, 5, 35856
64146, 402, 146, 6, 35855
64147, 439, 147, 7, 35854
64148, 476, 148, 8, 35853
64149, 513, 149, 9, 35852
64150, 550, 150, 0, 35851
64151, 587, 151, 1, 35850
64152, 624, 152, 2, 35849
64153, 661, 153, 3, 35848
64154, 698, 154, 4, 35847
64155, 735, 155, 5, 35846
64156, 772, 156, 6, 35845
64157, 809, 157, 7, 35844
64158, 846, 158, 8, 35843
64159, 883, 159, 9, 35842
64160, 920, 160, 0, 35841
64161, 957, 161, 1, 35840
64162, 994, 162, 2, 35839
64163, 31, 163, 3, 35838
64164, 68, 164, 4, 35837
64165, 105, 165, 5, 35836
64166, 142, 166, 6, 35835
64167, 179, 167, 7, 35834
64168, 216, 168, 8, 35833
64169, 253, 169, 9, 35832
64170, 290, 170, 0, 35831
64171, 327, 171, 1, 35830
64172, 364, 172, 2, 35829
64173, 401, 173, 3, 35828
64174, 438, 174, 4, 35827
64175, 475, 175, 5, 35826
64176, 512, 176, 6, 35825
64177, 549, 177, 7, 35824
64178, 586, 178, 8, 35823
64179, 623, 179, 9, 35822
64180, 660, 180, 0, 35821
64181, 697, 181, 1, 35820
64182, 734, 182, 2, 35819
64183, 771, 183, 3, 35818
64184, 808, 184, 4, 35817
64185, 845, 185, 5, 35816
64186, 882, 186, 6, 35815
64187, 919, 187, 7, 35814
64188, 956, 188, 8, 35813
64189, 993, 189, 9, 35812
64190, 30, 190, 0, 35811
64191, 67, 191, 1, 35810
64192, 104, 192, 2, 35809
64193, 141, 193, 3, 35808
64194, 178, 194, 4, 35807
64195, 215, 195, 5, 35806
64196, 252, 196, 6, 35805
64197, 289, 197, 7, 35804
64198, 326, 198, 8, 35803
64199, 363, 199, 9, 35802
64200, 400, 200, 0, 35801
64201, 437, 201, 1, 35800
64202, 474, 202, 2, 35799
64203, 511, 203, 3, 35798
64204, 548, 204, 4, 35797
64205, 585, 205, 5, 35796
64206, 622, 206, 6, 35795
64207, 659, 207, 7, 35794
64208, 696, 208, 8, 35793
64209, 733, 209, 9, 35792
64210, 770, 210, 0, 35791
64211, 807, 211, 1, 35790
64212, 844, 212, 2, 35789
64213, 881, 213, 3, 35788
64214, 918, 214, 4, 35787
64215, 955, 215, 5, 35786
64216, 992, 216, 6, 35785
64217, 29, 217, 7, 35784
64218, 66, 218, 8, 35783
64219, 103, 219, 9, 35782
64220, 140, 220, 0, 35781
64221, 177, 221, 1, 35780
64222, 214, 222, 2, 35779
64223, 251, 223, 3, 35778
64224, 288, 224, 4, 35777
64225, 325, 225, 5, 35776
64226, 362, 226, 6, 35775
64227, 399, 227, 7, 35774
64228, 436, 228, 8, 35773
64229, 473, 229, 9, 35772
64230, 510, 230, 0, 35771
64231, 547, 231, 1, 35770
64232, 584, 232, 2, 35769
64233, 621, 233, 3, 35768
64234, 658, 234, 4, 35767
64235, 695, 235, 5, 35766
64236, 732, 236, 6, 35765
64237, 769, 237, 7, 35764
64238, 806, 238, 8, 35763
64239, 843, 239, 9, 35762
64240, 880, 240, 0, 35761
64241, 917, 241, 1, 35760
64242, 954, 242, 2, 35759
64243, 991, 243, 3, 35758
64244, 28, 244, 4, 35757
64245, 65, 245, 5, 35756
64246, 102, 246, 6, 35755
64247, 139, 247, 7, 35754
64248, 176, 248, 8, 35753
64249, 213, 249, 9, 35752
64250, 250, 250, 0, 35751
64251, 287, 251, 1, 35750
64252, 324, 252, 2, 35749
64253, 361, 253, 3, 35748
64254, 398, 254, 4, 35747
64255, 435, 255, 5, 35746
64256, 472, 256, 6, 35745
64257, 509, 257, 7, 35744
64258, 546, 258, 8, 35743
64259, 583, 259, 9, 35742
64260, 620, 260, 0, 35741
64261, 657, 261, 1, 35740
64262, 694, 262, 2, 35739
64263, 731, 263, 3, 35738
64264, 768, 264, 4, 35737
64265, 805, 265, 5, 35736
64266, 842, 266, 6, 35735
64267, 879, 267, 7, 35734
64268, 916, 268, 8, 35733
64269, 953, 269, 9, 35732
64270, 990, 270, 0, 35731
64271, 27, 271, 1, 35730
64272, 64, 272, 2, 35729
64273, 101, 273, 3, 35728
64274, 138, 274, 4, 35727
64275, 175, 275, 5, 35726
64276, 212, 276, 6, 35725
64277, 249, 277, 7, 35724
64278, 286, 278, 8, 35723
64279, 323, 279, 9, 35722
64280, 360, 280, 0, 35721
64281, 397, 281, 1, 35720
64282, 434, 282, 2, 35719
64283, 471, 283, 3, 35718
64284, 508, 284, 4, 35717
64285, 545, 285, 5, 35716
64286, 582, 286, 6, 35715
64287, 619, 287, 7, 35714
64288, 656, 288, 8, 35713
64289, 693, 289, 9, 35712
64290, 730, 290, 0, 35711
64291, 767, 291, 1, 35710
64292, 804, 292, 2, 35709
64293, 841, 293, 3, 35708
64294, 878, 294, 4, 35707
64295, 915, 295, 5, 35706
64296, 952, 296, 6, 35705
64297, 989, 297, 7, 35704
64298, 26, 298, 8, 35703
64299, 63, 299, 9, 35702
64300, 100, 300, 0, 35701
64301, 137, 301, 1, 35700
64302, 174, 302, 2, 35699
64303, 211, 303, 3, 35698
64304, 248, 304, 4, 35697
64305, 285, 305, 5, 35696
64306, 322, 306, 6, 35695
64307, 359, 307, 7, 35694
64308, 396, 308, 8, 35693
64309, 433, 309, 9, 35692
64310, 470, 310, 0, 35691
64311, 507, 311, 1, 35690
64312, 544, 312, 2, 35689
64313, 581, 313, 3, 35688
64314, 618, 314, 4, 35687
64315, 655, 315, 5, 35686
64316, 692, 316, 6, 35685
64317, 729, 317, 7, 35684
64318, 766, 318, 8, 35683
64319, 803, 319, 9, 35682
64320, 840, 320, 0, 35681
64321, 877, 321, 1, 35680
64322, 914, 322, 2, 35679
64323, 951, 323, 3, 35678
64324, 988, 324, 4, 35677
64325, 25, 325, 5, 35676
64326, 62, 326, 6, 35675
64327, 99, 327, 7, 35674
64328, 136, 328, 8, 35673
64329, 173, 329, 9, 35672
64330, 210, 330, 0, 35671
64331, 247, 331, 1, 35670
64332, 284, 332, 2, 35669
64333, 321, 333, 3, 35668
64334, 358, 334, 4, 35667
64335, 395, 335, 5, 35666
64336, 432, 336, 6, 35665
64337, 469, 337, 7, 35664
64338, 506, 338, 8, 35663
64339, 543, 339, 9, 35662
64340, 580, 340, 0, 35661
64341, 617, 341, 1, 35660
64342, 654, 342, 2, 35659
64343, 691, 343, 3, 35658
64344, 728, 344, 4, 35657
64345, 765, 345, 5, 35656
64346, 802, 346, 6, 35655
64347, 839, 347, 7, 35654
64348, 876, 348, 8, 35653
64349, 913, 349, 9, 35652
64350, 950, 350, 0, 35651
64351, 987, 351, 1, 35650
64352, 24, 352, 2, 35649
64353, 61, 353, 3, 35648
64354, 98, 354, 4, 35647
64355, 135, 355, 5, 35646
64356, 172, 356, 6, 35645
64357, 209, 357, 7, 35644
64358, 246, 358, 8, 35643
64359, 283, 359, 9, 35642
64360, 320, 360, 0, 35641
64361, 357, 361, 1, 35640
64362, 394, 362, 2, 35639
64363, 431, 363, 3, 35638
64364, 468, 364, 4, 35637
64365, 505, 365, 5, 35636
64366, 542, 366, 6, 35635
64367, 579, 367, 7, 35634
64368, 616, 368, 8, 35633
64369, 653, 369, 9, 35632
64370, 690, 370, 0, 35631
64371, 727, 371, 1, 35630
64372, 764, 372, 2, 35629
64373, 801, 373, 3, 35628
64374, 838, 374, 4, 35627
64375, 875, 375, 5, 35626
64376, 912, 376, 6, 35625
64377, 949, 377, 7, 35624
64378, 986, 378, 8, 35623
64379, 23, 379, 9, 35622
64380, 60, 380, 0, 35621
64381, 97, 381, 1, 35620
64382, 134, 382, 2, 35619
64383, 171, 383, 3, 35618
64384, 208, 384, 4, 35617
64385, 245, 385, 5, 35616
64386, 282, 386, 6, 35615
64387, 319, 387, 7, 35614
64388, 356, 388, 8, 35613
64389, 393, 389, 9, 35612
64390, 430, 390, 0, 35611
64391, 467, 391, 1, 35610
64392, 504, 392, 2, 35609
64393, 541, 393, 3, 35608
64394, 578, 394, 4, 35607
64395, 615, 395, 5, 35606
64396, 652, 396, 6, 35605
64397, 689, 397, 7, 35604
64398, 726, 398, 8, 35603
64399, 763, 399, 9, 35602
64400, 800, 400, 0, 35601
64401, 837, 401, 1, 35600
64402, 874, 402, 2, 35599
64403, 911, 403, 3, 35598
64404, 948, 404, 4, 35597
64405, 985, 405, 5, 35596
64406, 22, 406, 6, 35595
64407, 59, 407, 7, 35594
64408, 96, 408, 8, 35593
64409, 133, 409, 9, 35592
64410, 170, 410, 0, 35591
64411, 207, 411, 1, 35590
64412, 244, 412, 2, 35589
64413, 281, 413, 3, 35588
64414, 318, 414, 4, 35587
64415, 355, 415, 5, 35586
64416, 392, 416, 6, 35585
64417, 429, 417, 7, 35584
64418, 466, 418, 8, 35583
64419, 503, 419, 9, 35582
64420, 540, 420, 0, 35581
64421, 577, 421, 1, 35580
64422, 614, 422, 2, 35579
64423, 651, 423, 3, 35578
64424, 688, 424, 4, 35577
64425, 725, 425, 5, 35576
64426, 762, 426, 6, 35575
64427, 799, 427, 7, 35574
64428, 836, 428, 8, 35573
64429, 873, 429, 9, 35572
64430, 910, 430, 0, 35571
64431, 947, 431, 1, 35570
64432, 984, 432, 2, 35569
64433, 21, 433, 3, 35568
64434, 58, 434, 4, 35567
64435, 95, 435, 5, 35566
64436, 132, 436, 6, 35565
64437, 169, 437, 7, 35564
64438, 206, 438, 8, 35563
64439, 243, 439, 9, 35562
64440, 280, 440, 0, 35561
64441, 317, 441, 1, 35560
64442, 354, 442, 2, 35559
64443, 391, 443, 3, 35558
64444, 428, 444, 4, 35557
64445, 465, 445, 5, 35556
64446, 502, 446, 6, 35555
64447, 539, 447, 7, 35554
64448, 576, 448, 8, 35553
64449, 613, 449, 9, 35552
64450, 650, 450, 0, 35551
64451, 687, 451, 1, 35550
64452, 724, 452, 2, 35549
64453, 761, 453, 3, 35548
64454, 798, 454, 4, 35547
64455, 835, 455, 5, 35546
64456, 872, 456, 6, 35545
64457, 909, 457, 7, 35544
64458, 946, 458, 8, 35543
64459, 983, 459, 9, 35542
64460, 20, 460, 0, 35541
64461, 57, 461, 1, 35540
64462, 94, 462, 2, 35539
64463, 131, 463, 3, 35538
64464, 168, 464, 4, 35537
64465, 205, 465, 5, 35536
64466, 242, 466, 6, 35535
64467, 279, 467, 7, 35534
64468, 316, 468, 8, 35533
64469, 353, 469, 9, 35532
64470, 390, 470, 0, 35531
64471, 427, 471, 1, 35530
64472, 464, 472, 2, 35529
64473, 501, 473, 3, 35528
64474, 538, 474, 4, 35527
64475, 575, 475, 5, 35526
64476, 612, 476, 6, 35525
64477, 649, 477, 7, 35524
64478, 686, 478, 8, 35523
64479, 723, 479, 9, 35522
64480, 760, 480, 0, 35521
64481, 797, 481, 1, 35520
64482, 834, 482, 2, 35519
64483, 871, 483, 3, 35518
64484, 908, 484, 4, 35517
64485, 945, 485, 5, 35516
64486, 982, 486, 6, 35515
64487, 19, 487, 7, 35514
64488, 56, 488, 8, 35513
64489, 93, 489, 9, 35512
64490, 130, 490, 0, 35511
64491, 167, 491, 1, 35510
64492, 204, 492, 2, 35509
64493, 241, 493, 3, 35508
64494, 278, 494, 4, 35507
64495, 315, 495, 5, 35506
64496, 352, 496, 6, 35505
64497, 389, 497, 7, 35504
64498, 426, 498, 8, 35503
64499, 463, 499, 9, 35502
64500, 500, 0, 0, 35501
64501, 537, 1, 1, 35500
64502, 574, 2, 2, 35499
64503, 611, 3, 3, 35498
64504, 648, 4, 4, 35497
64505, 685, 5, 5, 35496
64506, 722, 6, 6, 35495
64507, 759, 7, 7, 35494
64508, 796, 8, 8, 35493
64509, 833, 9, 9, 35492
64510, 870, 10, 0, 35491
64511, 907, 11, 1, 35490
64512, 944, 12, 2, 35489
64513, 981, 13, 3, 35488
64514, 18, 14, 4, 35487
64515, 55, 15, 5, 35486
64516, 92, 16, 6, 35485
64517, 129, 17, 7, 35484
64518, 166, 18, 8, 35483
64519, 203, 19, 9, 35482
64520, 240, 20, 0, 35481
64521, 277, 21, 1, 35480
64522, 314, 22, 2, 35479
64523, 351, 23, 3, 35478
64524, 388, 24, 4, 35477
64525, 425, 25, 5, 35476
64526, 462, 26, 6, 35475
64527, 499, 27, 7, 35474
64528, 536, 28, 8, 35473
64529, 573, 29, 9, 35472
64530, 610, 30, 0, 35471
64531, 647, 31, 1, 35470
64532, 684, 32, 2, 35469
64533, 721, 33, 3, 35468
64534, 758, 34, 4, 35467
64535, 795, 35, 5, 35466
64536, 832, 36, 6, 35465
64537, 869, 37, 7, 35464
64538, 906, 38, 8, 35463
64539, 943, 39, 9, 35462
64540, 980, 40, 0, 35461
64541, 17, 41, 1, 35460
64542, 54, 42, 2, 35459
64543, 91, 43, 3, 35458
64544, 128, 44, 4, 35457
64545, 165, 45, 5, 35456
64546, 202, 46, 6, 35455
64547, 239, 47, 7, 35454
64548, 276, 48, 8, 35453
64549, 313, 49, 9, 35452
64550, 350, 50, 0, 35451
64551, 387, 51, 1, 35450
64552, 424, 52, 2, 35449
64553, 461, 53, 3, 35448
64554, 498, 54, 4, 35447
64555, 535, 55, 5, 35446
64556, 572, 56, 6, 35445
64557, 609, 57, 7, 35444
64558, 646, 58, 8, 35443
64559, 683, 59, 9, 35442
64560, 720, 60, 0, 35441
64561, 757, 61, 1, 35440
64562, 794, 62, 2, 35439
64563, 831, 63, 3, 35438
64564, 868, 64, 4, 35437
64565, 905, 65, 5, 35436
64566, 942, 66, 6, 35435
64567, 979, 67, 7, 35434
64568, 16, 68, 8, 35433
64569, 53, 69, 9, 35432
64570, 90, 70, 0, 35431
64571, 127, 71, 1, 35430
64572, 164, 72, 2, 35429
64573, 201, 73, 3, 35428
64574, 238, 74, 4, 35427
64575, 275, 75, 5, 35426
64576, 312, 76, 6, 35425
64577, 349, 77, 7, 35424
64578, 386, 78, 8, 35423
64579, 423, 79, 9, 35422
64580, 460, 80, 0, 35421
64581, 497, 81, 1, 35420
64582, 534, 82, 2, 35419
64583, 571, 83, 3, 35418
64584, 608, 84, 4, 35417
64585, 645, 85, 5, 35416
64586, 682, 86, 6, 35415
64587, 719, 87, 7, 35414
64588, 756, 88, 8, 35413
64589, 793, 89, 9, 35412
64590, 830, 90, 0, 35411
64591, 867, 91, 1, 35410
64592, 904, 92, 2, 35409
64593, 941, 93, 3, 35408
64594, 978, 94, 4, 35407
64595, 15, 95, 5, 35406
64596, 52, 96, 6, 35405
64597, 89, 97, 7, 35404
64598, 126, 98, 8, 35403
64599, 163, 99, 9, 35402
64600, 200, 100, 0, 35401
64601, 237, 101, 1, 35400
64602, 274, 102, 2, 35399
64603, 311, 103, 3, 35398
64604, 348, 104, 4, 35397
64605, 385, 105, 5, 35396
64606, 422, 106, 6, 35395
64607, 459, 107, 7, 35394
64608, 496, 108, 8, 35393
64609, 533, 109, 9, 35392
64610, 570, 110, 0, 35391
64611, 607, 111, 1, 35390
64612, 644, 112, 2, 35389
64613, 681, 113, 3, 35388
64614, 718, 114, 4, 35387
64615, 755, 115, 5, 35386
64616, 792, 116, 6, 35385
64617, 829, 117, 7, 35384
64618, 866, 118, 8, 35383
64619, 903, 119, 9, 35382
64620, 940, 120, 0, 35381
64621, 977, 121, 1, 35380
64622, 14, 122, 2, 35379
64623, 51, 123, 3, 35378
64624, 88, 124, 4, 35377
64625, 125, 125, 5, 35376
64626, 162, 126, 6, 35375
64627, 199, 127, 7, 35374
64628, 236, 128, 8, 35373
64629, 273, 129, 9, 35372
64630, 310, 130, 0, 35371
64631, 347, 131, 1, 35370
64632, 384, 132, 2, 35369
64633, 421, 133, 3, 35368
64634, 458, 134, 4, 35367
64635, 495, 135, 5, 35366
64636, 532, 136, 6, 35365
64637, 569, 137, 7, 35364
64638, 606, 138, 8, 35363
64639, 643, 139, 9, 35362
64640, 680, 140, 0, 35361
64641, 717, 141, 1, 35360
64642, 754, 142, 2, 35359
64643, 791, 143, 3, 35358
64644, 828, 144, 4, 35357
64645, 865, 145, 5, 35356
64646, 902, 146, 6, 35355
64647, 939, 147, 7, 35354
64648, 976, 148, 8, 35353
64649, 13, 149, 9, 35352
64650, 50, 150, 0, 35351
64651, 87, 151, 1, 35350
64652, 124, 152, 2, 35349
64653, 161, 153, 3, 35348
64654, 198, 154, 4, 35347
64655, 235, 155, 5, 35346
64656, 272, 156, 6, 35345
64657, 309, 157, 7, 35344
64658, 346, 158, 8, 35343
64659, 383, 159, 9, 35342
64660, 420, 160, 0, 35341
64661, 457, 161, 1, 35340
64662, 494, 162, 2, 35339
64663, 531, 163, 3, 35338
64664, 568, 164, 4, 35337
64665, 605, 165, 5, 35336
64666, 642, 166, 6, 35335
64667, 679, 167, 7, 35334
64668, 716, 168, 8, 35333
64669, 753, 169, 9, 35332
64670, 790, 170, 0, 35331
64671, 827, 171, 1, 35330
64672, 864, 172, 2, 35329
64673, 901, 173, 3, 35328
64674, 938, 174, 4, 35327
64675, 975, 175, 5, 35326
64676, 12, 176, 6, 35325
64677, 49, 177, 7, 35324
64678, 86, 178, 8, 35323
64679, 123, 179, 9, 35322
64680, 160, 180, 0, 35321
64681, 197, 181, 1, 35320
64682, 234, 182, 2, 35319
64683, 271, 183, 3, 35318
64684, 308, 184, 4, 35317
64685, 345, 185, 5, 35316
64686, 382, 186, 6, 35315
64687, 419, 187, 7, 35314
64688, 456, 188, 8, 35313
64689, 493, 189, 9, 35312
64690, 530, 190, 0, 35311
64691, 567, 191, 1, 35310
64692, 604, 192, 2, 35309
64693, 641, 193, 3, 35308
64694, 678, 194, 4, 35307
64695, 715, 195, 5, 35306
64696, 752, 196, 6, 35305
64697, 789, 197, 7, 35304
64698, 826, 198, 8, 35303
64699, 863, 199, 9, 35302
64700, 900, 200, 0, 35301
64701, 937, 201, 1, 35300
64702, 974, 202, 2, 35299
64703, 11, 203, 3, 35298
64704, 48, 204, 4, 35297
64705, 85, 205, 5, 35296
64706, 122, 206, 6, 35295
64707, 159, 207, 7, 35294
64708, 196, 208, 8, 35293
64709, 233, 209, 9, 35292
64710, 270, 210, 0, 35291
64711, 307, 211, 1, 35290
64712, 344, 212, 2, 35289
64713, 381, 213, 3, 35288
64714, 418, 214, 4, 35287
64715, 455, 215, 5, 35286
64716, 492, 216, 6, 35285
64717, 529, 217, 7, 35284
64718, 566, 218, 8, 35283
64719, 603, 219, 9, 35282
64720, 640, 220, 0, 35281
64721, 677, 221, 1, 35280
64722, 714, 222, 2, 35279
64723, 751, 223, 3, 35278
64724, 788, 224, 4, 35277
64725, 825, 225, 5, 35276
64726, 862, 226, 6, 35275
64727, 899, 227, 7, 35274
64728, 936, 228, 8, 35273
64729, 973, 229, 9, 35272
64730, 10, 230, 0, 35271
64731, 47, 231, 1, 35270
64732, 84, 232, 2, 35269
64733, 121, 233, 3, 35268
64734, 158, 234, 4, 35267
64735, 195, 235, 5, 35266
64736, 232, 236, 6, 35265
64737, 269, 237, 7, 35264
64738, 306, 238, 8, 35263
64739, 343, 239, 9, 35262
64740, 380, 240, 0, 35261
64741, 417, 241, 1, 35260
64742, 454, 242, 2, 35259
64743, 491, 243, 3, 35258
64744, 528, 244, 4, 35257
64745, 565, 245, 5, 35256
64746, 602, 246, 6, 35255
64747, 639, 247, 7, 35254
64748, 676, 248, 8, 35253
64749, 713, 249, 9, 35252
64750, 750, 250, 0, 35251
64751, 787, 251, 1, 35250
64752, 824, 252, 2, 35249
64753, 861, 253, 3, 35248
64754, 898, 254, 4, 35247
64755, 935, 255, 5, 35246
64756, 972, 256, 6, 35245
64757, 9, 257, 7, 35244
64758, 46, 258, 8, 35243
64759, 83, 259, 9, 35242
64760, 120, 260, 0, 35241
64761, 157, 261, 1, 35240
64762, 194, 262, 2, 35239
64763, 231, 263, 3, 35238
64764, 268, 264, 4, 35237
64765, 305, 265, 5, 35236
64766, 342, 266, 6, 35235
64767, 379, 267, 7, 35234
64768, 416, 268, 8, 35233
64769, 453, 269, 9, 35232
64770, 490, 270, 0, 35231
64771, 527, 271, 1, 35230
64772, 564, 272, 2, 35229
64773, 601, 273, 3, 35228
64774, 638, 274, 4, 35227
64775, 675, 275, 5, 35226
64776, 712, 276, 6, 35225
64777, 749, 277, 7, 35224
64778, 786, 278, 8, 35223
64779, 823, 279, 9, 35222
64780, 860, 280, 0, 35221
64781, 897, 281, 1, 35220
64782, 934, 282, 2, 35219
64783, 971, 283, 3, 35218
64784, 8, 284, 4, 35217
64785, 45, 285, 5, 35216
64786, 82, 286, 6, 35215
64787, 119, 287, 7, 35214
64788, 156, 288, 8, 35213
64789, 193, 289, 9, 35212
64790, 230, 290, 0, 35211
64791, 267, 291, 1, 35210
64792, 304, 292, 2, 35209
64793, 341, 293, 3, 35208
64794, 378, 294, 4, 35207
64795, 415, 295, 5, 35206
64796, 452, 296, 6, 35205
64797, 489, 297, 7, 35204
64798, 526, 298, 8, 35203
64799, 563, 299, 9, 35202
64800, 600, 300, 0, 35201
64801, 637, 301, 1, 35200
64802, 674, 302, 2, 35199
64803, 711, 303, 3, 35198
64804, 748, 304, 4, 35197
64805, 785, 305, 5, 35196
64806, 822, 306, 6, 35195
64807, 859, 307, 7, 35194
64808, 896, 308, 8, 35193
64809, 933, 309, 9, 35192
64810, 970, 310, 0, 35191
64811, 7, 311, 1, 35190
64812, 44, 312, 2, 35189
64813, 81, 313, 3, 35188
64814, 118, 314, 4, 35187
64815, 155, 315, 5, 35186
64816, 192, 316, 6, 35185
64817, 229, 317, 7, 35184
64818, 266, 318, 8, 35183
64819, 303, 319, 9, 35182
64820, 340, 320, 0, 35181
64821, 377, 321, 1, 35180
64822, 414, 322, 2, 35179
64823, 451, 323, 3, 35178
64824, 488, 324, 4, 35177
